student_id,needs_intervention,true_onset_time,possible_window_start,possible_window_end
STU001,1,2026-03-17,2026-03-15,2026-03-22
STU002,1,2026-03-16,2026-03-14,2026-03-21
STU003,0,,,
STU004,0,,,
STU005,0,,,
STU006,0,,,
STU007,0,,,
STU008,1,2026-03-02,2026-02-28,2026-03-07
STU009,0,,,
STU010,0,,,
STU011,1,2026-02-28,2026-02-26,2026-03-05
STU012,1,2026-03-14,2026-03-12,2026-03-19
STU013,0,,,
STU014,1,2026-03-04,2026-03-02,2026-03-09
STU015,0,,,
STU016,0,,,
STU017,0,,,
STU018,1,2026-03-06,2026-03-04,2026-03-11
STU019,1,2026-03-07,2026-03-05,2026-03-12
STU020,0,,,
